CGPA,Internships,AptitudeScore,Communication,Projects,Certifications,Branch,Placed
8.5,1,78,7,3,2,CSE,1
7.2,0,65,6,2,1,ECE,0
9.0,2,85,8,4,3,CSE,1
6.8,0,60,5,1,0,EEE,0
8.0,1,75,7,3,1,IT,1
7.5,1,72,6,2,2,CSE,1
6.5,0,55,5,1,0,ECE,0
8.8,2,88,9,4,3,CSE,1
7.0,1,68,6,2,1,EEE,0
8.2,1,80,8,3,2,IT,1
9.1,2,90,9,5,4,CSE,1
6.9,0,58,5,1,0,ECE,0
7.8,1,74,7,3,1,IT,1
8.6,2,82,8,4,3,CSE,1
6.7,0,62,5,2,0,EEE,0
7.4,1,70,6,2,1,ECE,0
8.3,1,77,7,3,2,CSE,1
9.3,3,92,9,5,4,CSE,1
6.2,0,50,4,1,0,EEE,0
7.9,1,76,7,3,2,IT,1
8.7,2,84,8,4,3,CSE,1
6.6,0,59,5,1,0,ECE,0
7.1,1,67,6,2,1,EEE,0
8.4,2,79,8,4,2,CSE,1
9.2,3,95,9,5,5,CSE,1
6.4,0,52,4,1,0,EEE,0
7.6,1,73,6,2,1,IT,1
8.9,2,86,9,4,3,CSE,1
7.3,1,69,6,2,1,ECE,0
8.1,1,78,7,3,2,CSE,1
7.0,0,63,6,2,0,EEE,0
8.5,2,83,8,4,3,CSE,1
6.3,0,54,5,1,0,ECE,0
7.7,1,75,7,3,2,IT,1
9.0,3,91,9,5,4,CSE,1
6.8,0,57,5,1,0,EEE,0
7.9,1,74,7,3,2,CSE,1
8.6,2,85,8,4,3,CSE,1
6.5,0,56,4,1,0,ECE,0
7.2,1,68,6,2,1,IT,0
8.3,2,80,8,3,2,CSE,1
9.4,3,94,9,5,5,CSE,1
6.1,0,48,4,1,0,EEE,0
7.8,1,72,7,2,1,IT,1
8.0,1,79,7,3,2,CSE,1
6.9,0,60,5,1,0,ECE,0
8.2,2,81,8,4,3,CSE,1
7.4,1,70,6,2,1,IT,0
9.1,3,93,9,5,4,CSE,1
6.7,0,58,5,1,0,EEE,0
7.5,1,71,6,2,1,ECE,0
8.8,2,87,9,4,3,CSE,1
6.6,0,55,4,1,0,EEE,0
7.9,1,76,7,3,2,IT,1
8.4,2,82,8,4,3,CSE,1
9.0,3,90,9,5,4,CSE,1
6.3,0,53,4,1,0,ECE,0
7.6,1,73,6,2,1,IT,1
8.5,2,84,8,4,3,CSE,1
6.8,0,59,5,1,0,EEE,0
7.2,1,66,6,2,1,ECE,0
8.1,1,78,7,3,2,CSE,1
9.3,3,92,9,5,4,CSE,1
6.4,0,51,4,1,0,EEE,0
7.7,1,74,7,3,2,IT,1
8.7,2,86,8,4,3,CSE,1
6.9,0,57,5,1,0,ECE,0
7.8,1,75,7,3,2,CSE,1
8.2,2,80,8,4,3,CSE,1
9.5,3,96,10,5,5,CSE,1
6.0,0,45,4,1,0,EEE,0
7.4,1,70,6,2,1,IT,0
8.3,2,82,8,4,3,CSE,1
